Country,Currency,Date,Exchange_Rate,Base_Currency,Timestamp
ABW,AWG,202512,0.558659217877095,USD,2026-01-18T11:15:50.516731
AIA,XCD,202512,0.3703703703703704,USD,2026-01-18T11:15:50.516731
AND,EUR,202512,1.170871428571428,USD,2026-01-18T11:15:50.516731
ARE,AED,202512,0.2722940776038121,USD,2026-01-18T11:15:50.516731
ARG,ARS,202512,0.0006929628033505,USD,2026-01-18T11:15:50.516731
ARM,AMD,202512,0.0026211632722602,USD,2026-01-18T11:15:50.516731
ATG,XCD,202512,0.3703703703703704,USD,2026-01-18T11:15:50.516731
AUS,AUD,202512,0.663733333333333,USD,2026-01-18T11:15:50.516731
BEN,XOF,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
BFA,XOF,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
BGD,BDT,202512,0.0081771225311525,USD,2026-01-18T11:15:50.516731
BGR,BGN,202512,0.5983366241847663,USD,2026-01-18T11:15:50.516731
BHR,BHD,202512,2.659574468085106,USD,2026-01-18T11:15:50.516731
BHS,BSD,202512,1.0,USD,2026-01-18T11:15:50.516731
BLZ,BZD,202512,0.5,USD,2026-01-18T11:15:50.516731
BMU,BMD,202512,1.0,USD,2026-01-18T11:15:50.516731
BRA,BRL,202512,0.1834027206959967,USD,2026-01-18T11:15:50.516731
BRB,BBD,202512,0.5,USD,2026-01-18T11:15:50.516731
BRN,BND,202512,0.7742471326461302,USD,2026-01-18T11:15:50.516731
BTN,BTN,202512,0.0110998537291547,USD,2026-01-18T11:15:50.516731
BWA,BWP,202512,0.0759019043787808,USD,2026-01-18T11:15:50.516731
CAF,XAF,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
CAN,CAD,202512,0.7249003262051468,USD,2026-01-18T11:15:50.516731
CHE,CHF,202512,1.254603948417855,USD,2026-01-18T11:15:50.516731
CHL,CLP,202512,0.0010917915988196,USD,2026-01-18T11:15:50.516731
CHN,CNY,202512,0.1419700146422711,USD,2026-01-18T11:15:50.516731
CIV,XOF,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
CMR,XAF,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
COG,XAF,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
COL,COP,202512,0.0002635094718479,USD,2026-01-18T11:15:50.516731
COM,KMF,202512,0.0023799759812943,USD,2026-01-18T11:15:50.516731
CRI,CRC,202512,0.002021021887341,USD,2026-01-18T11:15:50.516731
CUW,XCG,202512,0.558659217877095,USD,2026-01-18T11:15:50.516731
CWX,,202512,0.558659217877095,USD,2026-01-18T11:15:50.516731
CYM,KYD,202512,1.2000048000192,USD,2026-01-18T11:15:50.516731
CZE,CZK,202512,0.0482509047044632,USD,2026-01-18T11:15:50.516731
DJI,DJF,202512,0.0056267970583104,USD,2026-01-18T11:15:50.516731
DMA,XCD,202512,0.3703703703703704,USD,2026-01-18T11:15:50.516731
DNK,DKK,202512,0.156662266545807,USD,2026-01-18T11:15:50.516731
DOM,DOP,202512,0.0157128322773,USD,2026-01-18T11:15:50.516731
DZA,DZD,202512,0.0077101715667377,USD,2026-01-18T11:15:50.516731
ECU,USD,202512,1.0,USD,2026-01-18T11:15:50.516731
ERI,ERN,202512,0.066334991708126,USD,2026-01-18T11:15:50.516731
FJI,FJD,202512,0.4383849896979527,USD,2026-01-18T11:15:50.516731
FSM,USD,202512,1.0,USD,2026-01-18T11:15:50.516731
G163,EUR,202512,1.170871428571428,USD,2026-01-18T11:15:50.516731
G309,,202512,0.3703703703703704,USD,2026-01-18T11:15:50.516731
G758,,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
G759,,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
GAB,XAF,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
GBR,GBP,202512,1.337792857142857,USD,2026-01-18T11:15:50.516731
GEO,GEL,202512,0.3705350526159775,USD,2026-01-18T11:15:50.516731
GGY,GBP,202512,1.337792857142857,USD,2026-01-18T11:15:50.516731
GIB,GIP,202512,1.337792857142857,USD,2026-01-18T11:15:50.516731
GNB,XOF,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
GNQ,XAF,202512,0.0017849819859707,USD,2026-01-18T11:15:50.516731
